id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	100	61	39	100	39	0
2	0	131	131	166	35	0	35	0	0
3	0	159	166	195	21	8	36	15	7
4	0	190	195	200	5	0	10	5	5
5	0	497	497	503	6	0	6	0	0
6	0	771	771	773	2	0	2	0	0
7	0	961	961	1008	6	5	47	41	0
9	0	993	1008	1019	11	0	26	15	15
8	0	962	963	1026	48	10	64	16	1
10	0	1021	1026	1036	10	0	15	5	5
11	0	1036	1036	1105	46	23	69	23	0
12	0	1092	1114	1124	10	0	32	22	22
13	0	1098	1105	1154	23	26	56	33	7
15	0	1143	1155	1170	4	11	27	23	12
14	0	1142	1154	1180	11	14	38	27	12
16	0	1186	1186	1189	3	0	3	0	0
17	0	1311	1311	1401	50	40	90	40	0
18	0	1441	1441	1481	20	20	40	20	0
19	0	1498	1498	1543	45	0	45	0	0
21	0	1586	1601	1626	24	1	40	16	15
20	0	1577	1577	1668	49	42	91	42	0
22	0	1670	1670	1680	10	0	10	0	0
23	0	1877	1877	1893	16	0	16	0	0
24	0	2117	2117	2158	41	0	41	0	0
25	0	2168	2168	2216	44	4	48	4	0
0	0	0	0	2216	1615	0	2216	601	0
