id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	102	80	14	102	22	0
2	0	64	69	104	21	5	40	19	5
5	0	160	160	182	22	0	22	0	0
3	0	69	104	201	68	7	132	64	35
4	0	142	153	205	11	23	63	52	11
6	0	215	215	222	7	0	7	0	0
7	0	266	266	271	5	0	5	0	0
8	0	270	271	280	9	0	10	1	1
9	0	334	334	364	13	3	30	17	0
10	0	336	338	380	26	16	44	18	2
11	0	373	380	389	9	0	16	7	7
13	0	537	544	562	18	0	25	7	7
12	0	528	528	599	20	39	71	51	0
14	0	742	742	753	11	0	11	0	0
15	0	836	836	858	8	14	22	14	0
16	0	916	916	923	7	0	7	0	0
18	0	1116	1133	1149	16	0	33	17	17
17	0	1100	1100	1152	36	2	52	16	0
19	0	1197	1197	1258	61	0	61	0	0
20	0	1357	1357	1358	1	0	1	0	0
21	0	1366	1366	1387	21	0	21	0	0
22	0	1379	1387	1389	2	0	10	8	8
23	0	1468	1468	1535	37	30	67	30	0
24	0	1495	1495	1562	31	25	67	36	0
25	0	1640	1640	1643	3	0	3	0	0
0	0	0	0	1643	1100	0	1643	543	0
