id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	100	61	39	100	39	0
2	0	131	131	171	35	0	40	5	0
4	0	190	194	199	5	0	9	4	4
3	0	159	161	200	21	8	41	20	2
5	0	497	497	503	6	0	6	0	0
6	0	771	771	773	2	0	2	0	0
7	0	961	961	972	6	5	11	5	0
9	0	993	997	1018	11	0	25	14	4
10	0	1021	1021	1031	10	0	10	0	0
8	0	962	963	1043	48	10	81	33	1
12	0	1092	1093	1108	10	0	16	6	1
11	0	1036	1036	1122	46	23	86	40	0
15	0	1143	1143	1159	4	11	16	12	0
13	0	1098	1113	1168	23	26	70	47	15
14	0	1142	1142	1171	11	14	29	18	0
16	0	1186	1186	1189	3	0	3	0	0
17	0	1311	1311	1401	50	40	90	40	0
18	0	1441	1441	1481	20	20	40	20	0
19	0	1498	1498	1543	45	0	45	0	0
21	0	1586	1587	1625	24	1	39	15	1
22	0	1670	1670	1685	10	0	15	5	0
20	0	1577	1577	1689	49	42	112	63	0
23	0	1877	1877	1893	16	0	16	0	0
24	0	2117	2117	2158	41	0	41	0	0
25	0	2168	2168	2216	44	4	48	4	0
0	0	0	0	2216	1615	0	2216	601	0
