id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	127	80	14	127	47	0
2	0	64	66	134	21	5	70	49	2
5	0	160	160	197	22	0	37	15	0
3	0	69	79	201	68	7	132	64	10
4	0	142	144	205	11	23	63	52	2
6	0	215	215	222	7	0	7	0	0
7	0	266	266	271	5	0	5	0	0
8	0	270	271	280	9	0	10	1	1
9	0	334	334	357	13	3	23	10	0
11	0	373	373	382	9	0	9	0	0
10	0	336	338	391	26	16	55	29	2
13	0	537	538	562	18	0	25	7	1
12	0	528	528	599	20	39	71	51	0
14	0	742	742	753	11	0	11	0	0
15	0	836	836	858	8	14	22	14	0
16	0	916	916	923	7	0	7	0	0
18	0	1116	1120	1149	16	0	33	17	4
17	0	1100	1100	1153	36	2	53	17	0
19	0	1197	1197	1258	61	0	61	0	0
20	0	1357	1357	1358	1	0	1	0	0
22	0	1379	1381	1383	2	0	4	2	2
21	0	1366	1366	1389	21	0	23	2	0
23	0	1468	1468	1545	37	30	77	40	0
24	0	1495	1495	1562	31	25	67	36	0
25	0	1640	1640	1643	3	0	3	0	0
0	0	0	0	1643	1100	0	1643	543	0
